iter	Passed	Remaining
279	485	1247
280	486	1244
281	487	1242
282	489	1239
283	490	1236
284	491	1233
285	492	1230
286	494	1228
287	496	1228
288	498	1226
289	499	1223
290	501	1220
291	502	1218
292	503	1215
293	505	1213
294	506	1209
295	507	1206
296	508	1203
297	509	1201
298	511	1199
299	512	1196
300	514	1193
301	516	1193
302	517	1191
303	519	1190
304	521	1187
305	522	1184
306	523	1182
307	524	1179
308	527	1178
309	529	1178
310	530	1175
311	531	1172
312	533	1170
313	535	1168
314	536	1165
315	537	1164
316	539	1162
317	542	1164
318	548	1171
319	550	1169
320	551	1166
321	552	1162
322	553	1160
323	554	1157
324	556	1156
325	557	1153
326	559	1150
327	560	1147
328	561	1144
329	562	1142
330	563	1139
331	565	1137
332	566	1134
333	567	1131
334	568	1129
335	570	1126
336	571	1123
337	573	1124
338	574	1121
339	575	1117
340	576	1114
341	578	1112
342	580	1111
343	581	1108
344	582	1106
345	584	1104
346	586	1103
347	587	1101
348	589	1099
349	590	1096
350	592	1095
351	594	1093
352	597	1095
353	599	1094
354	600	1091
355	601	1088
356	603	1086
357	605	1085
358	606	1083
359	608	1081
360	609	1078
361	610	1075
362	612	1075
363	614	1073
364	615	1071
365	616	1068
366	618	1066
367	619	1064
368	621	1061
369	622	1059
370	623	1056
371	624	1053
372	625	1051
373	627	1049
374	629	1048
375	630	1046
376	631	1043
377	632	1041
378	633	1038
379	635	1036
380	638	1037
381	640	1035
382	644	1037
383	646	1037
384	648	1036
385	650	1034
386	654	1036
387	656	1034
388	659	1035
389	663	1037
390	665	1035
391	666	1033
392	667	1031
393	668	1028
394	670	1027
395	673	1026
396	674	1024
397	676	1022
398	677	1020
399	678	1018
400	679	1015
401	681	1013
402	682	1011
403	683	1008
404	684	1006
405	687	1005
406	688	1003
407	689	1001
408	691	998
409	692	995
410	693	993
411	694	990
412	695	988
413	696	986
414	697	983
415	698	980
416	701	980
417	702	978
418	704	976
419	705	973
420	706	971
421	707	968
422	708	966
423	709	964
424	711	961
425	712	959
426	713	957
427	715	956
428	717	954
429	718	952
430	719	950
431	720	947
432	721	945
433	722	942
434	723	940
435	724	937
436	725	934
437	726	932
438	727	929
439	729	928
440	731	926
441	732	925
442	734	922
443	735	920
444	736	918
445	737	915
446	738	913
447	739	911
448	740	909
449	741	906
450	743	905
451	745	904
452	747	902
453	748	899
454	749	897
455	750	895
456	752	893
457	753	891
458	754	889
459	755	886
460	763	893
461	765	891
462	766	889
463	767	887
464	769	884
465	770	882
466	771	880
467	775	881
468	777	880
469	779	878
470	780	877
471	783	876
472	784	874
473	785	872
474	786	869
475	788	868
476	790	866
477	791	864
478	792	862
479	794	860
480	795	858
481	796	855
482	797	853
483	798	851
484	799	849
485	801	847
486	804	847
487	805	845
488	807	843
489	808	841
490	809	839
491	811	837
492	812	835
493	813	833
494	814	830
495	815	828
496	818	828
497	821	827
498	822	825
499	823	823
500	824	821
501	825	819
502	827	817
503	828	815
504	829	813
505	832	812
506	833	810
507	835	809
508	836	807
509	837	804
510	838	802
511	839	800
512	840	798
513	841	795
514	842	793
515	843	791
516	844	789
517	846	787
518	848	786
519	850	784
520	851	782
521	852	780
522	854	778
523	855	777
524	856	775
525	857	772
526	858	770
527	860	769
528	862	768
529	865	767
530	866	765
531	867	763
532	868	761
533	869	758
534	870	756
535	871	754
536	872	752
537	873	750
538	876	749
539	877	747
540	879	745
541	880	743
542	881	742
543	882	739
544	883	737
545	884	735
546	886	733
547	887	731
548	888	729
549	890	728
550	892	727
551	894	725
552	895	723
553	896	721
554	897	719
555	898	717
556	899	715
557	900	713
558	901	711
559	902	709
560	905	708
561	907	707
562	908	705
563	909	703
564	910	701
565	911	699
566	912	697
567	913	695
568	914	693
569	916	691
570	917	689
571	920	688
572	921	686
573	923	685
574	924	683
575	925	681
576	926	679
577	927	677
578	928	674
579	929	672
580	930	670
581	931	668
582	932	666
583	934	665
584	935	663
585	936	661
586	937	659
587	938	657
588	940	655
589	940	653
590	942	651
591	943	649
592	944	647
593	945	645
594	946	643
595	947	641
596	949	640
597	950	638
598	951	636
599	952	634
600	953	632
601	954	630
602	955	628
603	956	626
604	957	624
605	958	623
606	959	621
607	961	619
608	965	619
609	966	618
610	967	616
611	969	614
612	970	612
613	972	611
614	973	609
615	974	607
616	975	605
617	977	604
618	979	602
619	980	600
620	981	598
621	982	596
622	983	595
623	984	593
624	985	591
625	986	589
626	987	587
627	988	585
628	989	583
629	990	581
630	992	580
631	993	578
632	995	576
633	996	574
634	997	573
635	997	571
636	998	569
637	999	567
638	1001	565
639	1002	563
640	1003	561
641	1004	559
642	1005	558
643	1007	556
644	1008	554
645	1009	553
646	1010	551
647	1011	549
648	1012	547
649	1013	545
650	1014	543
651	1015	542
652	1016	540
653	1017	538
654	1018	536
655	1019	534
656	1021	533
657	1023	531
658	1024	530
659	1025	528
660	1026	526
661	1027	524
662	1028	522
663	1029	520
664	1030	519
665	1031	517
666	1032	515
667	1033	513
668	1034	511
669	1036	510
670	1037	508
671	1038	506
672	1039	505
673	1040	503
674	1041	501
675	1043	499
676	1044	498
677	1045	496
678	1046	494
679	1047	493
680	1049	491
681	1051	490
682	1052	488
683	1053	486
684	1054	485
685	1055	483
686	1056	481
687	1057	479
688	1059	478
689	1060	476
690	1061	474
691	1062	472
692	1064	471
693	1066	470
694	1066	468
695	1067	466
696	1070	465
697	1071	463
698	1072	461
699	1073	460
700	1074	458
701	1075	456
702	1076	454
703	1077	453
704	1080	452
705	1082	450
706	1083	448
707	1084	447
708	1085	445
709	1086	443
710	1087	442
711	1089	440
712	1090	438
713	1091	437
714	1092	435
715	1095	434
716	1096	432
717	1097	431
718	1099	429
719	1100	427
720	1101	426
721	1102	424
722	1102	422
723	1104	420
724	1105	419
725	1106	417
726	1107	416
727	1109	414
728	1111	413
729	1112	411
730	1113	409
731	1113	407
732	1114	406
733	1115	404
734	1116	402
735	1117	400
736	1118	399
737	1119	397
738	1120	395
739	1123	394
740	1124	393
741	1125	391
742	1126	389
743	1127	388
744	1128	386
745	1129	384
746	1131	383
747	1132	381
748	1133	379
749	1134	378
750	1135	376
751	1137	375
752	1139	373
753	1140	372
754	1141	370
755	1142	368
756	1143	367
757	1144	365
758	1145	363
759	1146	362
760	1147	360
761	1148	358
762	1149	357
763	1152	355
764	1153	354
765	1155	352
766	1155	351
767	1156	349
768	1157	347
769	1158	346
770	1159	344
771	1160	342
772	1161	341
773	1162	339
774	1163	337
775	1164	336
776	1166	334
777	1167	333
778	1168	331
779	1169	329
780	1171	328
781	1172	326
782	1173	325
783	1173	323
784	1174	321
785	1176	320
786	1176	318
787	1177	316
788	1179	315
789	1181	314
790	1182	312
791	1184	310
792	1185	309
793	1186	307
794	1187	306
795	1188	304
796	1189	302
797	1189	301
798	1190	299
799	1192	298
800	1193	296
801	1194	294
802	1196	293
803	1197	291
804	1198	290
805	1199	288
806	1200	287
807	1201	285
808	1202	283
809	1203	282
810	1204	280
811	1205	279
812	1206	277
813	1210	276
814	1212	275
815	1213	273
816	1214	272
817	1215	270
818	1216	268
819	1217	267
820	1218	265
821	1219	264
822	1220	262
823	1221	260
824	1223	259
825	1225	258
826	1226	256
827	1227	254
828	1228	253
829	1229	251
830	1230	250
831	1231	248
832	1232	247
833	1233	245
834	1234	243
835	1235	242
836	1236	240
837	1238	239
838	1239	237
839	1240	236
840	1241	234
841	1242	233
842	1243	231
843	1244	230
844	1245	228
845	1246	226
846	1248	225
847	1248	223
848	1249	222
849	1250	220
850	1252	219
851	1254	217
852	1255	216
853	1256	214
854	1257	213
855	1258	211
856	1259	210
857	1260	208
858	1261	207
859	1262	205
860	1263	203
861	1264	202
862	1265	200
863	1267	199
864	1268	198
865	1269	196
866	1270	194
867	1271	193
868	1272	191
869	1273	190
870	1274	188
871	1275	187
872	1276	185
873	1277	184
874	1278	182
875	1279	181
876	1280	179
877	1282	178
878	1283	176
879	1284	175
880	1284	173
881	1285	172
882	1286	170
883	1288	169
884	1289	167
885	1290	166
886	1291	164
887	1292	162
888	1293	161
889	1294	159
890	1295	158
891	1296	157
892	1297	155
893	1298	153
894	1299	152
895	1300	150
896	1301	149
897	1302	147
898	1303	146
899	1304	144
900	1305	143
901	1306	141
902	1307	140
903	1308	138
904	1309	137
905	1311	136
906	1312	134
907	1313	133
908	1314	131
909	1315	130
910	1316	128
911	1318	127
912	1319	125
913	1320	124
914	1321	122
915	1322	121
916	1323	119
917	1324	118
918	1325	116
919	1326	115
920	1327	113
921	1329	112
922	1330	110
923	1331	109
924	1332	108
925	1333	106
926	1334	105
927	1335	103
928	1336	102
929	1337	100
930	1338	99
931	1340	97
932	1341	96
933	1342	94
934	1343	93
935	1344	91
936	1345	90
937	1346	89
938	1347	87
939	1348	86
940	1349	84
941	1350	83
942	1351	81
943	1352	80
944	1353	78
945	1355	77
946	1356	75
947	1357	74
948	1358	72
949	1359	71
950	1360	70
951	1361	68
952	1362	67
953	1363	65
954	1364	64
955	1365	62
956	1366	61
957	1367	59
958	1368	58
959	1369	57
960	1370	55
961	1371	54
962	1372	52
963	1373	51
964	1374	49
965	1375	48
966	1376	46
967	1377	45
968	1378	44
969	1379	42
970	1380	41
971	1381	39
972	1382	38
973	1383	36
974	1385	35
975	1386	34
976	1387	32
977	1388	31
978	1389	29
979	1390	28
980	1391	26
981	1392	25
982	1393	24
983	1394	22
984	1395	21
985	1396	19
986	1397	18
987	1399	16
988	1400	15
989	1401	14
990	1402	12
991	1403	11
992	1404	9
993	1405	8
994	1406	7
995	1407	5
996	1408	4
997	1409	2
998	1410	1
999	1411	0
