iter	Passed	Remaining
473	661	734
474	662	732
475	663	730
476	664	728
477	665	727
478	666	725
479	667	723
480	668	721
481	669	719
482	670	717
483	671	716
484	672	714
485	673	712
486	674	710
487	675	708
488	676	706
489	677	705
490	678	703
491	679	701
492	680	699
493	681	698
494	682	696
495	683	694
496	684	692
497	685	691
498	686	689
499	687	687
500	688	685
501	689	684
502	690	682
503	691	680
504	692	679
505	693	677
506	695	675
507	696	674
508	697	672
509	698	670
510	699	669
511	700	667
512	701	666
513	702	664
514	703	662
515	704	660
516	705	659
517	706	657
518	707	655
519	708	654
520	709	652
521	710	650
522	711	648
523	712	647
524	713	645
525	714	643
526	715	642
527	716	640
528	717	638
529	718	637
530	719	635
531	720	633
532	721	632
533	722	630
534	723	628
535	724	627
536	725	625
537	726	623
538	727	622
539	728	620
540	729	618
541	730	617
542	731	615
543	732	613
544	733	612
545	734	610
546	735	608
547	736	607
548	737	605
549	738	603
550	739	602
551	740	600
552	741	599
553	742	597
554	743	595
555	744	594
556	745	592
557	746	591
558	747	589
559	748	587
560	749	586
561	750	584
562	751	583
563	752	581
564	752	579
565	753	578
566	754	576
567	755	574
568	756	573
569	757	571
570	758	570
571	759	568
572	760	567
573	761	565
574	763	563
575	764	562
576	765	560
577	766	559
578	767	557
579	768	556
580	769	554
581	770	553
582	771	551
583	772	550
584	773	548
585	774	546
586	775	545
587	776	543
588	777	542
589	778	540
590	779	539
591	780	537
592	781	536
593	782	534
594	783	533
595	784	531
596	785	530
597	786	528
598	787	527
599	788	525
600	789	524
601	790	522
602	791	520
603	792	519
604	793	517
605	794	516
606	795	514
607	796	513
608	797	511
609	798	510
610	799	508
611	800	507
612	801	505
613	802	504
614	803	502
615	803	501
616	805	499
617	805	498
618	806	496
619	807	495
620	808	493
621	809	492
622	810	490
623	811	489
624	812	487
625	813	486
626	814	484
627	815	483
628	816	481
629	817	480
630	819	479
631	820	477
632	821	476
633	822	474
634	823	473
635	824	471
636	825	470
637	826	468
638	827	467
639	828	465
640	829	464
641	830	462
642	831	461
643	832	460
644	833	458
645	834	457
646	835	455
647	836	454
648	837	452
649	838	451
650	839	449
651	840	448
652	841	447
653	842	445
654	843	444
655	844	442
656	845	441
657	846	439
658	847	438
659	848	436
660	849	435
661	850	434
662	851	432
663	852	431
664	853	429
665	854	428
666	855	427
667	856	425
668	857	424
669	858	422
670	859	421
671	860	419
672	861	418
673	862	417
674	863	415
675	864	414
676	865	412
677	866	411
678	867	409
679	868	408
680	868	407
681	870	405
682	870	404
683	871	402
684	872	401
685	873	400
686	874	398
687	875	397
688	876	395
689	877	394
690	878	393
691	879	391
692	880	390
693	881	388
694	882	387
695	883	386
696	884	384
697	885	383
698	886	381
699	887	380
700	888	379
701	889	377
702	890	376
703	891	374
704	892	373
705	893	372
706	894	370
707	895	369
708	896	368
709	897	366
710	898	365
711	899	363
712	900	362
713	901	361
714	902	359
715	903	358
716	904	357
717	905	355
718	906	354
719	907	353
720	909	351
721	910	350
722	911	349
723	912	347
724	913	346
725	913	344
726	915	343
727	916	342
728	917	340
729	918	339
730	918	338
731	919	336
732	920	335
733	921	334
734	922	332
735	923	331
736	924	329
737	925	328
738	926	327
739	927	325
740	928	324
741	929	323
742	930	321
743	931	320
744	932	319
745	933	317
746	934	316
747	935	315
748	936	313
749	937	312
750	938	311
751	939	309
752	940	308
753	941	307
754	942	305
755	943	304
756	944	303
757	945	301
758	946	300
759	947	299
760	948	298
761	950	296
762	951	295
763	952	294
764	953	292
765	954	291
766	955	290
767	956	288
768	957	287
769	958	286
770	959	284
771	960	283
772	961	282
773	962	281
774	963	279
775	964	278
776	965	277
777	966	275
778	967	274
779	968	273
780	969	271
781	971	270
782	972	269
783	973	268
784	974	266
785	975	265
786	976	264
787	977	262
788	978	261
789	979	260
790	980	258
791	981	257
792	982	256
793	983	255
794	984	253
795	985	252
796	986	251
797	987	249
798	988	248
799	989	247
800	990	246
801	991	244
802	992	243
803	993	242
804	994	240
805	995	239
806	996	238
807	997	237
808	998	235
809	999	234
810	1000	233
811	1001	231
812	1002	230
813	1003	229
814	1004	228
815	1005	226
816	1006	225
817	1007	224
818	1009	223
819	1010	221
820	1011	220
821	1012	219
822	1013	217
823	1014	216
824	1015	215
825	1016	214
826	1017	212
827	1018	211
828	1019	210
829	1020	208
830	1021	207
831	1022	206
832	1023	205
833	1024	203
834	1025	202
835	1026	201
836	1027	200
837	1028	198
838	1029	197
839	1030	196
840	1031	195
841	1032	193
842	1033	192
843	1034	191
844	1035	190
845	1037	188
846	1037	187
847	1038	186
848	1039	184
849	1040	183
850	1041	182
851	1042	181
852	1043	179
853	1045	178
854	1045	177
855	1047	176
856	1048	174
857	1049	173
858	1050	172
859	1051	171
860	1052	169
861	1053	168
862	1054	167
863	1055	166
864	1056	164
865	1057	163
866	1058	162
867	1059	161
868	1060	159
869	1061	158
870	1062	157
871	1063	156
872	1064	154
873	1066	153
874	1067	152
875	1069	151
876	1070	150
877	1072	149
878	1073	147
879	1075	146
880	1076	145
